Source,Date (local),Time (local),Latitude,Longitude,Depth,Magn. (Ml),Epicenter error (km),Depth error (km),Intensity
INPRES conf. 01,20210424,00:11:13.6,-38.623,-69.116,7.5,1.9,20,20,
INPRES web,20210425,20:39:11.0,-38.637,-69.156,3,2.9,20,20,III - Sauzal Bonito 
INPRES conf. 01,20210426,12:36:35.1,-38.568,-69.214,7.5,1.9,20,20,
INPRES web,20210429,03:49:30.0,-38.627,-69.249,5,2.6,20,20,
INPRES conf. 01,20210513,23:55:35.2,-38.544,-68.759,7.5,1.9,20,20,
INPRES web,20210607,14:24:20.0,-38.672,-69.156,7,3.5,20,20,II a III - Cutral Co II a III - Anhelo. III a IV - Sauzal Bonito
INPRES web,20210613,14:42:37.0,-38.566,-69.233,4,3.1,20,20,III - Sauzal Bonito 
Vazquez et al. & @RedGeoChile,20210617,08:52:05.0,-38.628,-69.143,3,1.8,20,20,4 km to the SO of Sauzal Bonito. II Sauzal Bonito 
INPRES web,20210713,08:52:13.0,-38.305,-68.521,7,3.2,20,20,II a III - Anhelo 
INPRES web,20210714,15:07:07.0,-38.163,-68.594,8,2.9,20,20,
INPRES web,20210716,21:34:09.0,-38.599,-69.386,6,2.7,20,20,
INPRES web,20210717,05:59:46.0,-38.54,-69.182,5,3,20,20,III a IV - Sauzal Bonito 
INPRES web,20210717,23:09:04.0,-38.574,-69.14,6,3,20,20,III a IV - Sauzal Bonito 
INPRES web,20210718,00:30:11.0,-38.534,-69.185,5,3.1,20,20,
INPRES web,20210718,07:49:16.0,-38.53,-69.192,3,2.5,20,20,
INPRES web,20210718,15:31:10.0,-38.533,-69.214,3,2.5,20,20,
INPRES web,20210718,18:07:45.0,-38.23,-68.713,5,3.8,20,20,IV - Anhelo 
INPRES web,20210718,20:04:31.0,-38.533,-69.188,4,2.6,20,20,
USGS,20210718,21:07:44.0,-37.9058,-68.5824,13.86,4.3,20,8.9,52 km NNE of Anhelo 
INPRES web,20210719,02:33:25.0,-38.502,-69.198,5,2.6,20,20,
INPRES web,20210719,12:56:47.0,-38.534,-69.192,5,2.9,20,20,
Vazquez et al. & @RedGeoChile,20210720,02:10:38.0,-38.187,-68.62,4.8,2.4,20,20,24 km to the NE of Anhelo. 
Vazquez et al. & @RedGeoChile,20210720,10:28:23.0,-38.567,-69.17,3.9,1.5,20,20,7 km to the NO of Sauzal Bonito. II Sauzal Bonito 
INPRES web,20210720,12:20:25.0,-38.528,-69.192,4,3.1,20,20,
Vazquez et al. & @RedGeoChile,20210720,22:23:08.0,-38.567,-69.391,5.1,2.3,20,20,4 km to the SSE of Paso of los Indios. 
INPRES web,20210720,22:35:10.0,-38.562,-69.165,6,2.7,20,20,
INPRES web,20210722,11:49:55.0,-38.224,-68.576,6,3.3,20,20,
Vazquez et al. & @RedGeoChile,20210723,03:12:46.0,-38.604,-69.309,1.8,2,20,20,12 km to the SE of Paso of los Indios. 
INPRES web,20210723,03:42:48.0,-38.528,-69.194,5,2.7,20,20,
Vazquez et al. & @RedGeoChile,20210725,01:38:56.0,-38.688,-69.153,6.5,1.6,20,20,10 km to the SSO of Sauzal Bonito. 
Vazquez et al. & @RedGeoChile,20210725,11:39:22.0,-38.533,-69.297,3.1,1.8,20,20,10 km to the E of Paso of los Indios. 
Vazquez et al. & @RedGeoChile,20210725,12:01:41.0,-38.61,-69.319,3,1.5,20,20,12 km to the SE of Paso of los Indios. 
Vazquez et al. & @RedGeoChile,20210726,09:23:23.0,-38.541,-68.94,5.1,2.4,20,20,15 km to the ENE of Sauzal Bonito. 
INPRES web,20210801,22:45:12.0,-38.567,-69.155,7,3.1,20,20,III a IV - Sauzal Bonito 
Vazquez et al. & @RedGeoChile,20210803,18:26:57.0,-38.672,-69.431,3.1,2.2,20,20,16 km to the S of Paso of los Indios. 
INPRES web,20210813,12:06:16.0,-38.363,-69.079,7,3,20,20,III - Anhelo III - Sauzal Bonito
INPRES web,20210822,11:38:44.0,-38.567,-69.147,8,3.8,20,20,III - Anhelo II a III - Cutral Co. II a III - City of Neuquen. IV a V - Sauzal Bonito
INPRES web,20211108,16:48:31.0,-38.616,-69.145,4,2.8,20,20,III - Sauzal Bonito 
Vazquez et al. & @RedGeoChile,20211109,04:55:57.0,-38.553,-69.111,5.3,1.9,20,20,5 km to the N of Sauzal Bonito. II Sauzal Bonito 
Vazquez et al. & @RedGeoChile,20211114,14:59:20.0,-38.566,-69.116,4.6,2.4,20,20,4 km to the NNO of Sauzal Bonito. III Sauzal Bonito 
