ID,X,Y,SIGLA,SIGLA_MOD,OBS,TYPE,SUBTYPE,FORM_PROD,PROF2,PROF,HIGH,CLAS,SUBCLAS,FLUID,START_DRIL,END_DRILL,START_TERM,END_TERM,FR_fr_quan,FR_sand_mt,FR_inj_w_m,FR_inj_co2,FR_w+s,FR_fr_star,FR_fr_end
101711,-69.424509999999998,-38.565399999999997,PAM.Nq.M-2045(h),PAM.NQ.M-2045,,NO CONVENCIONAL,TIGHT,mulichinco,,3376,647,EXPLOTACION,DESARROLLO,Gasifero,07/10/2022,27/10/2022,22/12/2022,31/12/2022,16,2085,11565,0,12398,12/22/22,12/30/22
97296,-68.237555999999998,-38.725456999999999,YPF.Nq.RN-2001(d),YPF.NQ.RN-2001,,NO CONVENCIONAL,TIGHT,punta rosada,,3991,348,EXPLOTACION,DESARROLLO,Gasifero,08/02/2018,24/02/2018,18/03/2018,11/04/2018,16,1710,7668,0,8352,03/25/18,04/02/18
97653,-68.244313000000005,-38.719540000000002,YPF.Nq.RN-2013(d),YPF.NQ.RN-2013,,NO CONVENCIONAL,TIGHT,punta rosada,,3932,350,EXPLOTACION,DESARROLLO,Gasifero,13/05/2018,20/06/2018,22/07/2018,14/08/2018,16,1870,9908,0,10656,07/27/18,08/04/18
92212,-68.933784000000003,-38.760663999999998,YPF.Nq.Laj-72(d),YPF.NQ.LAJ-72,,NO CONVENCIONAL,TIGHT,lajas,,2825,543,EXPLOTACION,DESARROLLO,Gasifero,13/07/2014,24/08/2014,13/09/2014,29/10/2014,16,1310,4288,0,4812,09/27/14,10/21/14
98813,-68.258285999999998,-38.715260000000001,YPF.Nq.RN-2034(d),YPF.NQ.RN-2034,,NO CONVENCIONAL,TIGHT,punta rosada,,3985,356,EXPLOTACION,DESARROLLO,Gasifero,13/09/2018,24/09/2018,01/06/2019,17/07/2019,16,1944,7150,0,7927,06/17/19,06/29/19
100916,-68.265701000000007,-38.718173000000000,YPF.Nq.RN-2050(d),YPF.NQ.RN-2050,,NO CONVENCIONAL,TIGHT,punta rosada,,0,360,EXPLOTACION,DESARROLLO,Gasifero,15/06/2021,07/08/2021,10/01/2022,08/02/2022,16,1262,6958,0,7463,01/13/22,01/30/22
98154,-69.194660999999996,-38.392215999999998,TAU.Nq.APGe-411(h),TAU.NQ.APGE-411,,NO CONVENCIONAL,SHALE,vaca muerta,,4354,457,EXPLOTACION,DESARROLLO,Gasifero,23/06/2018,21/09/2018,08/10/2018,04/12/2018,16,3636,27200,0,28655,10/08/18,12/04/18
90855,-68.906586000000004,-38.762988999999997,YPF.Nq.Laj-54(d),YPF.NQ.LAJ-54,,NO CONVENCIONAL,TIGHT,lajas,,3235,619,EXPLOTACION,DESARROLLO,Gasifero,26/02/2014,16/04/2014,10/05/2014,07/06/2014,16,1357,5065,0,5608,05/11/14,05/26/14
101489,-68.231131000000005,-38.706339999999997,YPF.Nq.RN-2021(d),YPF.NQ.RN-2021,,NO CONVENCIONAL,TIGHT,punta rosada,,0,351,EXPLOTACION,DESARROLLO,Gasifero,27/03/2022,15/05/2022,30/08/2022,25/09/2022,16,1510,6867,0,7471,09/06/22,09/14/22
100920,-68.537964000000002,-38.404246000000001,SHE.Nq.CdL-28(h),SHE.NQ.CDL-28,,NO CONVENCIONAL,SHALE,vaca muerta,,5517,488,EXPLOTACION,DESARROLLO,Petrolifero,05/05/2021,07/10/2021,08/11/2021,18/11/2021,17,4045,24281,0,25899,11/05/21,12/03/21
96246,-68.698262000000000,-38.367111999999999,YPF.Nq.LLL-1280(h),YPF.NQ.LLL-1280,,NO CONVENCIONAL,SHALE,vaca muerta,,4707,518,EXPLOTACION,DESARROLLO,Petrolifero,05/11/2016,17/11/2016,24/03/2017,02/06/2017,17,3286,23222,0,24537,03/24/17,05/04/17
102434,-68.637000000000000,-38.123950000000001,YPF.Nq.LACh-605(h),YPF.NQ.LACH-605,,NO CONVENCIONAL,SHALE,vaca muerta,,6010,350,EXPLOTACION,DESARROLLO,Petrolifero,09/10/2022,06/12/2022,05/07/2023,08/08/2023,17,3934,23680,0,25254,07/05/23,07/11/23
93526,-68.603898000000001,-38.353512000000002,YPF.Nq.SOil-231(h),YPF.NQ.SOIL-231,,NO CONVENCIONAL,SHALE,vaca muerta,,4749,442,EXPLOTACION,DESARROLLO,Petrolifero,10/04/2015,13/05/2015,,,17,3855,17516,0,19058,06/05/15,07/02/15
95257,-68.638242000000005,-38.372059000000000,YPF.Nq.LLL-1375(h),YPF.NQ.LLL-1375,,NO CONVENCIONAL,SHALE,vaca muerta,,4855,507,EXPLOTACION,DESARROLLO,Petrolifero,15/05/2016,31/05/2016,03/08/2016,16/09/2016,17,4088,20042,0,21677,08/03/16,08/29/16
101614,-68.466245999999998,-38.594636000000001,PAE.Nq.ECh-142(h),PAE.NQ.ECH-142,,NO CONVENCIONAL,SHALE,vaca muerta,,6248,420,EXPLOTACION,DESARROLLO,Petrolifero,16/02/2022,03/05/2022,13/07/2022,23/10/2022,17,3152,26477,0,27738,08/16/22,09/12/22
101406,-69.087648000000002,-37.532710999999999,YPF.Nq.BdT.x-15(h),YPF.NQ.BDT.X-15,,NO CONVENCIONAL,SHALE,vaca muerta,,4328,941,EXPLORACION,EXPLORACION,Petrolifero,16/12/2019,22/09/2021,21/12/2021,06/02/2022,17,4051,23789,0,25410,12/21/21,01/09/22
95439,-68.572918000000001,-38.385012000000003,YPF.Nq.SOil-312(h),YPF.NQ.SOIL-312,,NO CONVENCIONAL,SHALE,vaca muerta,,4887,495,EXPLOTACION,DESARROLLO,Petrolifero,17/05/2016,11/06/2016,29/09/2016,08/11/2016,17,2604,19070,0,20111,10/04/16,10/31/16
94124,-68.656779999999998,-38.360861999999997,YPF.Nq.SOil-219(h),YPF.NQ.SOIL-219,,NO CONVENCIONAL,SHALE,vaca muerta,,4861,510,EXPLOTACION,DESARROLLO,Petrolifero,20/07/2015,18/08/2015,10/10/2015,17/11/2015,17,4190,16230,0,17906,10/10/15,10/20/15
101228,-69.087738000000002,-37.532710999999999,YPF.Nq.BdT.x-14(h),YPF.NQ.BDT.X-14,,NO CONVENCIONAL,SHALE,vaca muerta,,4357,941,EXPLORACION,EXPLORACION,Petrolifero,21/12/2019,30/09/2021,20/12/2021,09/02/2022,17,6019,34235,0,36643,12/20/21,01/06/22
101319,-69.088009000000000,-37.532710999999999,YPF.Nq.BdT.x-11(h),YPF.NQ.BDT.X-11,,NO CONVENCIONAL,SHALE,vaca muerta,,4372,941,EXPLORACION,EXPLORACION,Petrolifero,23/11/2019,12/10/2021,21/12/2021,06/02/2022,17,4032,23731,0,25344,12/21/21,01/08/22
101320,-69.087916000000007,-37.532710999999999,YPF.Nq.BdT.x-12(h),YPF.NQ.BDT.X-12,,NO CONVENCIONAL,SHALE,vaca muerta,,4296,941,EXPLORACION,EXPLORACION,Petrolifero,24/12/2019,06/09/2021,21/12/2021,04/02/2022,17,4045,23841,0,25459,12/21/21,01/08/22
90390,-69.222435000000004,-37.977378999999999,YPF.Nq.EOr-4(h),YPF.NQ.EOR-4,,NO CONVENCIONAL,SHALE,vaca muerta,,4350,386,EXPLOTACION,DESARROLLO,Otro tipo,27/10/2013,30/12/2013,13/01/2014,09/03/2014,17,3835,24705,0,26239,01/22/14,02/01/14
95963,-69.226625999999996,-37.959682999999998,YPF.Nq.EOr-82(h),YPF.NQ.EOR-82,,NO CONVENCIONAL,SHALE,vaca muerta,,4880,374,EXPLOTACION,DESARROLLO,Otro tipo,28/06/2016,31/07/2016,19/12/2016,18/02/2017,17,4033,34865,0,36479,12/20/16,01/24/17
